Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Fauna in Australia (Generated 2022-10-09 16:01:48)
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Acanthiza pusilla archibaldi,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Endemic,,TAS,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Acanthophis hawkei,Plains Death Adder,Vulnerable,Present,,"NT, QLD, WA",Animalia,Chordata,Reptilia,Squamata,Elapidae,
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,Endemic,,TAS,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,Endemic,Christmas Island,"AET, CI",Animalia,Chordata,Aves,Falconiformes,Accipitridae,
Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Present,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Endemic,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Present,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Advena campbellii,Campbell's Keeled Glass-snail,Critically Endangered,Present,,"AET, NI",Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae,
Aipysurus apraefrontalis,Short-nosed Seasnake,Critically Endangered,Present,,"ACR, OCE, WA",Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,
Aipysurus foliosquama,Leaf-scaled Seasnake,Critically Endangered,Present,,"ACR, OCE, WA",Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Present,,"NSW, QLD, SA",Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis dorotheae,Carpentarian Grasswren,Endangered,Present,,"NT, QLD",Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis modestus,Thick-billed Grasswren,Vulnerable,Present,,"NSW, NT, SA",Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Present,,NSW,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Present,,NT,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,Present,,"NSW, QLD",Animalia,Chordata,Reptilia,Squamata,Scincidae,
Anous tenuirostris melanops,Australian Lesser Noddy,Vulnerable,Present,,"ACR, OCE, WA",Animalia,Chordata,Aves,Charadriiformes,Laridae,
Antechinus argentus,Silver-headed Antechinus,Endangered,Present,,QLD,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Antechinus arktos,Black-tailed Antechinus,Endangered,Present,,"NSW, QLD",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Antechinus bellus,Fawn Antechinus,Vulnerable,Present,,NT,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Antechinus minimus maritimus,Swamp Antechinus (mainland),Vulnerable,Present,,"SA, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Anthochaera phrygia,Regent Honeyeater,Critically Endangered,Present,,"ACT, NSW, QLD, SA, TER, VIC",Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Endemic,,TAS,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,
Aplonis fusca,Tasman Starling,Extinct,Extinct,Norfolk Island,"AET, NSW",Animalia,Chordata,Aves,Passeriformes,Sturnidae,
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Present,,"ACT, NSW, VIC",Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,Endemic,,SA,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Endemic,,TAS,Animalia,Chordata,Aves,Falconiformes,Accipitridae,
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Present,,"AET, ANT, HI, OCE, TAS",Animalia,Chordata,Mammalia,Pinnipedia,Otariidae,
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Vagrant,,"SA, VIC, WA",Animalia,Chordata,Mammalia,Pinnipedia,Otariidae,
Argynnis hyperbius inconstans,Australian Fritillary,Critically Endangered,Present,,NSW,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Atrichornithidae,
Atrichornis rufescens,Rufous Scrub-bird,Endangered,Present,,"NSW, QLD",Animalia,Chordata,Aves,Passeriformes,Atrichornithidae,
Austrocordulia leonardi,Sydney Hawk Dragonfly,Endangered,Excluded,,NSW,Animalia,Arthropoda,Insecta,Odonata,Austrocorduliidae,
Balaenoptera borealis,Sei Whale,Vulnerable,Present,,"AET, ANT, CI, CKI, CSI, HI, NSW, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Balaenoptera musculus,Blue Whale,Endangered,Present,,"ACR, AET, ANT, CI, CKI, CSI, HI, NI, NSW, NT, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Balaenoptera physalus,Fin Whale,Vulnerable,Present,,"AET, ANT, HI, NSW, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,
Bellatorias obiri,Arnhem Land Egernia,Endangered,Endemic,,NT,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,Endemic,,WA,Animalia,Arthropoda,Arachnida,Araneae,Migidae,
Bertmainius tingle,Tingle Pygmy Trapdoor Spider,Endangered,Endemic,,WA,Animalia,Arthropoda,Arachnida,Araneae,Migidae,
Bettongia anhydra,Desert Bettong,Extinct,Extinct,,"NT, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",Extinct,Extinct,,"NSW, QLD, SA, VIC",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur Barrow and Boodie Islands subspecies,"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",Extinct,Extinct,,"NSW, NT, SA, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Translocated,,"NSW, SA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia penicillata ogilbyi,Woylie,Endangered,Present,,"SA, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia penicillata ogilbyi,Woylie,Endangered,Translocated,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Extinct,Extinct,,"NSW, NT, SA, VIC, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia pusilla,Nullarbor Dwarf Bettong,Extinct,Extinct,,"SA, WA",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
