Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Fauna in Australia (Generated 2022-10-09 16:01:48)
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Present,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Endemic,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Present,,QLD,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Present,,NSW,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Present,,NT,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Antechinus argentus,Silver-headed Antechinus,Endangered,Present,,QLD,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Antechinus bellus,Fawn Antechinus,Vulnerable,Present,,NT,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,Endemic,,SA,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
Argynnis hyperbius inconstans,Australian Fritillary,Critically Endangered,Present,,NSW,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Atrichornithidae,
Austrocordulia leonardi,Sydney Hawk Dragonfly,Endangered,Excluded,,NSW,Animalia,Arthropoda,Insecta,Odonata,Austrocorduliidae,
Bellatorias obiri,Arnhem Land Egernia,Endangered,Endemic,,NT,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,Endemic,,WA,Animalia,Arthropoda,Arachnida,Araneae,Migidae,
Bertmainius tingle,Tingle Pygmy Trapdoor Spider,Endangered,Endemic,,WA,Animalia,Arthropoda,Arachnida,Araneae,Migidae,
Bettongia lesueur Barrow and Boodie Islands subspecies,"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia penicillata ogilbyi,Woylie,Endangered,Translocated,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia tropica,Northern Bettong,Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Bettongia tropica,Northern Bettong,Endangered,Extinct in state,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Botaurus poiciloptilus,Australasian Bittern,Endangered,Vagrant,,NT,Animalia,Chordata,Aves,Ardeiformes,Ardeidae,
Calamanthus cautus halmaturinus,Shy Heathwren (Kangaroo Island),Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Calamanthus pyrrhopygius parkeri,Chestnut-rumped Heathwren (Mt Lofty Ranges),Endangered,Present,,SA,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Callocephalon fimbriatum,Gang-gang Cockatoo,Endangered,Present,,NSW,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus banksii naso,"Forest Red-tailed Black-Cockatoo, Karrak",Vulnerable,Endemic,,WA,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus baudinii,"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,Endemic,,WA,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus lathami halmaturinus,"Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)",Endangered,Endemic,,SA,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Calyptorhynchus latirostris,"Carnaby's Cockatoo,  Short-billed Black-Cockatoo",Endangered,Endemic,,WA,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Casuarius casuarius johnsonii,"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Struthioniformes,Casuariidae,
Cereopsis novaehollandiae grisea,"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,Endemic,,WA,Animalia,Chordata,Aves,Anseriformes,Anatidae,
Cherax tenuimanus,"Hairy Marron, Margaret River Hairy Marron, Margaret River Marron",Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Chlamydogobius micropterus,Elizabeth Springs Goby,Endangered,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,
Chlamydogobius squamigenus,Edgbaston Goby,Vulnerable,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,
Cinclosoma punctatum anachoreta,"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",Critically Endangered,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Cinclosomatidae,
Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,Extinct,Lord Howe Island,NSW,Animalia,Chordata,Aves,Columbiformes,Columbidae,
Conilurus capricornensis,Capricorn Rabbit-rat,Extinct,Extinct,,QLD,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Cophixalus aenigma,Tapping Nursery-frog,Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus concinnus,Elegant Frog,Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus hosmeri,"Hosmer's Frog, Rattling Nursery-frog",Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot Nursery-frog",Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus monticola,Mountain-top Nursery-frog,Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cophixalus neglectus,"Neglected Frog, Bellenden Ker Nursery-frog",Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Microhylidae,
Cryptoblepharus gurrmul,Arafura Snake-eyed Skink,Endangered,Present,,NT,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,Vulnerable,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Agamidae,
Ctenotus lancelini,Lancelin Island Skink,Vulnerable,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Ctenotus serotinus,Gravel Downs Ctenotus,Critically Endangered,Present,,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Ctenotus zastictus,Hamelin Ctenotus,Vulnerable,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Extinct,Extinct,Lord Howe Island,NSW,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,Extinct,,WA,Animalia,Chordata,Aves,Passeriformes,Dasyornithidae,
Dasyornis longirostris,Western Bristlebird,Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Dasyornithidae,
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Dasyurus maculatus gracilis,"Spotted-tailed Quoll (North Queensland), Yarri ",Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Delma mitella,"Atherton Delma, Legless Lizard",Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,
